Model,MSE,R2 Score
Linear Regression,0.10616295970431906,0.6355998085472896
Random Forest,0.1116089254373333,0.6169067449657686
SVR,0.29557143484476767,-0.014537346597768508
XGBoost,0.12122145203259199,0.5839121247949254
